2026-01-26 22:51:29,826 - diamondback - transport.transportBase.NatsTransport - INFO - NatsTransport connected [taskName=Task-1, event=connect, transport=nats, endpoint=nats://localhost:4222, instanceId=a3d57775]
2026-01-26 22:52:27,239 - diamondback - transport.transportBase.NatsTransport - INFO - NatsTransport connected [taskName=Task-1, event=connect, transport=nats, endpoint=nats://localhost:4222, instanceId=c0590619]
2026-01-26 22:52:50,549 - diamondback - transport.transportBase.NatsTransport - INFO - NatsTransport connected [taskName=Task-1, event=connect, transport=nats, endpoint=nats://localhost:4222, instanceId=03e216c5]
2026-01-26 22:52:50,640 - diamondback - transport.transportBase.NatsTransport - INFO - Subscribed: nova.smoke-test.*.*.* [taskName=Task-6, event=subscribe, transport=nats, endpoint=nats://localhost:4222, instanceId=03e216c5]
2026-01-26 22:53:43,934 - diamondback - transport.transportBase.NatsTransport - INFO - NatsTransport connected [taskName=Task-1, event=connect, transport=nats, endpoint=nats://localhost:4222, instanceId=ea6e43de]
2026-01-26 22:53:44,005 - diamondback - transport.transportBase.NatsTransport - INFO - Subscribed: nova.smoketest.*.*.* [taskName=Task-6, event=subscribe, transport=nats, endpoint=nats://localhost:4222, instanceId=ea6e43de]
2026-01-26 22:53:44,208 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.smoketest.raw.conn-test-device-123.v1 [taskName=Task-6, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=ea6e43de]
2026-01-26 22:54:00,202 - diamondback - transport.transportBase.NatsTransport - INFO - NatsTransport connected [taskName=Task-1, event=connect, transport=nats, endpoint=nats://localhost:4222, instanceId=029539a0]
2026-01-26 22:54:00,274 - diamondback - transport.transportBase.NatsTransport - INFO - Subscribed: nova.smoketest.*.*.* [taskName=Task-6, event=subscribe, transport=nats, endpoint=nats://localhost:4222, instanceId=029539a0]
2026-01-26 22:54:00,489 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.smoketest.raw.conn-test-device-123.v1 [taskName=Task-6, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=029539a0]
2026-01-26 22:54:00,983 - diamondback - transport.transportBase.NatsTransport - INFO - Unsubscribed: nova.smoketest.*.*.* [taskName=Task-6, event=unsubscribe, transport=nats, endpoint=nats://localhost:4222, instanceId=029539a0]
2026-01-26 22:54:16,321 - diamondback - transport.transportBase.NatsTransport - INFO - NatsTransport connected [taskName=Task-36, event=connect, transport=nats, endpoint=nats://localhost:4222, instanceId=fa4eb431]
2026-01-26 22:54:16,391 - diamondback - transport.transportBase.NatsTransport - INFO - Subscribed: nova.smoketest.*.*.* [taskName=Task-41, event=subscribe, transport=nats, endpoint=nats://localhost:4222, instanceId=fa4eb431]
2026-01-26 22:54:16,600 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.smoketest.raw.conn-test-device-123.v1 [taskName=Task-41, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=fa4eb431]
2026-01-26 22:54:17,091 - diamondback - transport.transportBase.NatsTransport - INFO - Unsubscribed: nova.smoketest.*.*.* [taskName=Task-41, event=unsubscribe, transport=nats, endpoint=nats://localhost:4222, instanceId=fa4eb431]
2026-01-26 22:55:06,422 - diamondback - transport.transportBase.NatsTransport - INFO - NatsTransport connected [taskName=Task-1, event=connect, transport=nats, endpoint=nats://localhost:4222, instanceId=03779c78]
2026-01-26 22:55:06,483 - diamondback - transport.transportBase.NatsTransport - INFO - Subscribed: nova.smoketest.*.*.* [taskName=Task-6, event=subscribe, transport=nats, endpoint=nats://localhost:4222, instanceId=03779c78]
2026-01-26 22:55:06,689 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.smoketest.raw.conn-test-device-123.v1 [taskName=Task-6, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=03779c78]
2026-01-26 22:55:07,196 - diamondback - transport.transportBase.NatsTransport - INFO - Unsubscribed: nova.smoketest.*.*.* [taskName=Task-6, event=unsubscribe, transport=nats, endpoint=nats://localhost:4222, instanceId=03779c78]
2026-01-26 22:55:43,387 - diamondback - transport.transportBase.NatsTransport - INFO - NatsTransport connected [taskName=Task-1, event=connect, transport=nats, endpoint=nats://localhost:4222, instanceId=d5c74662]
2026-01-26 22:55:43,463 - diamondback - transport.transportBase.NatsTransport - INFO - Subscribed: nova.smoketest.*.*.* [taskName=Task-6, event=subscribe, transport=nats, endpoint=nats://localhost:4222, instanceId=d5c74662]
2026-01-26 22:55:43,672 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.smoketest.raw.conn-test-device-123.v1 [taskName=Task-6, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=d5c74662]
2026-01-26 22:55:44,195 - diamondback - transport.transportBase.NatsTransport - INFO - Unsubscribed: nova.smoketest.*.*.* [taskName=Task-6, event=unsubscribe, transport=nats, endpoint=nats://localhost:4222, instanceId=d5c74662]
2026-01-26 22:56:18,849 - diamondback - transport.transportBase.NatsTransport - INFO - NatsTransport connected [taskName=Task-36, event=connect, transport=nats, endpoint=nats://localhost:4222, instanceId=8049a026]
2026-01-26 22:56:18,914 - diamondback - transport.transportBase.NatsTransport - INFO - Subscribed: nova.smoketest.*.*.* [taskName=Task-41, event=subscribe, transport=nats, endpoint=nats://localhost:4222, instanceId=8049a026]
2026-01-26 22:56:19,123 - diamondback - transport.transportBase.NatsTransport - INFO - Published message: nova.smoketest.raw.conn-test-device-123.v1 [taskName=Task-41, event=publish, transport=nats, endpoint=nats://localhost:4222, instanceId=8049a026]
2026-01-26 22:56:19,640 - diamondback - transport.transportBase.NatsTransport - INFO - Unsubscribed: nova.smoketest.*.*.* [taskName=Task-41, event=unsubscribe, transport=nats, endpoint=nats://localhost:4222, instanceId=8049a026]
2026-01-26 22:56:19,659 - diamondback - transport.transportBase.NatsTransport - WARNING - NATS disconnected [taskName=Task-44, transport=nats, endpoint=nats://localhost:4222, instanceId=8049a026]
2026-01-26 22:56:19,660 - diamondback - transport.transportBase.NatsTransport - INFO - NATS connection closed [taskName=Task-44, event=nats_closed, transport=nats, endpoint=nats://localhost:4222, instanceId=8049a026]
2026-01-26 22:56:19,660 - diamondback - transport.transportBase.NatsTransport - INFO - NatsTransport closed [taskName=Task-44, event=close, transport=nats, endpoint=nats://localhost:4222, instanceId=8049a026]
