,Latitude,Longitude,GeoidHeight
0,90.0,0.041667,14.899
1,90.0,0.083333,14.899
2,90.0,0.125,14.899
3,90.0,0.166667,14.899
4,90.0,0.208333,14.899
5,90.0,0.25,14.899
6,90.0,0.291667,14.899
7,90.0,0.333333,14.899
8,90.0,0.375,14.899
9,90.0,0.416667,14.899
10,90.0,0.458333,14.899
11,90.0,0.5,14.899
12,90.0,0.541667,14.899
13,90.0,0.583333,14.899
14,90.0,0.625,14.899
15,90.0,0.666667,14.899
16,90.0,0.708333,14.899
17,90.0,0.75,14.899
18,90.0,0.791667,14.899
19,90.0,0.833333,14.899
20,90.0,0.875,14.899
21,90.0,0.916667,14.899
22,90.0,0.958333,14.899
23,90.0,1.0,14.899
24,90.0,1.041667,14.899
25,90.0,1.083333,14.899
26,90.0,1.125,14.899
27,90.0,1.166667,14.899
28,90.0,1.208333,14.899
29,90.0,1.25,14.899
30,90.0,1.291667,14.899
31,90.0,1.333333,14.899
32,90.0,1.375,14.899
33,90.0,1.416667,14.899
34,90.0,1.458333,14.899
35,90.0,1.5,14.899
36,90.0,1.541667,14.899
37,90.0,1.583333,14.899
38,90.0,1.625,14.899
39,90.0,1.666667,14.899
40,90.0,1.708333,14.899
41,90.0,1.75,14.899
42,90.0,1.791667,14.899
43,90.0,1.833333,14.899
44,90.0,1.875,14.899
45,90.0,1.916667,14.899
46,90.0,1.958333,14.899
47,90.0,2.0,14.899
48,90.0,2.041667,14.899
49,90.0,2.083333,14.899
50,90.0,2.125,14.899
51,90.0,2.166667,14.899
52,90.0,2.208333,14.899
53,90.0,2.25,14.899
54,90.0,2.291667,14.899
55,90.0,2.333333,14.899
56,90.0,2.375,14.899
57,90.0,2.416667,14.899
58,90.0,2.458333,14.899
59,90.0,2.5,14.899
60,90.0,2.541667,14.899
61,90.0,2.583333,14.899
62,90.0,2.625,14.899
63,90.0,2.666667,14.899
64,90.0,2.708333,14.899
65,90.0,2.75,14.899
66,90.0,2.791667,14.899
67,90.0,2.833333,14.899
68,90.0,2.875,14.899
69,90.0,2.916667,14.899
70,90.0,2.958333,14.899
71,90.0,3.0,14.899
72,90.0,3.041667,14.899
73,90.0,3.083333,14.899
74,90.0,3.125,14.899
75,90.0,3.166667,14.899
76,90.0,3.208333,14.899
77,90.0,3.25,14.899
78,90.0,3.291667,14.899
79,90.0,3.333333,14.899
80,90.0,3.375,14.899
81,90.0,3.416667,14.899
82,90.0,3.458333,14.899
83,90.0,3.5,14.899
84,90.0,3.541667,14.899
85,90.0,3.583333,14.899
86,90.0,3.625,14.899
87,90.0,3.666667,14.899
88,90.0,3.708333,14.899
89,90.0,3.75,14.899
90,90.0,3.791667,14.899
91,90.0,3.833333,14.899
92,90.0,3.875,14.899
93,90.0,3.916667,14.899
94,90.0,3.958333,14.899
95,90.0,4.0,14.899
96,90.0,4.041667,14.899
97,90.0,4.083333,14.899
98,90.0,4.125,14.899
99,90.0,4.166667,14.899
100,90.0,4.208333,14.899
101,90.0,4.25,14.899
102,90.0,4.291667,14.899
103,90.0,4.333333,14.899
104,90.0,4.375,14.899
105,90.0,4.416667,14.899
106,90.0,4.458333,14.899
107,90.0,4.5,14.899
108,90.0,4.541667,14.899
109,90.0,4.583333,14.899
110,90.0,4.625,14.899
111,90.0,4.666667,14.899
112,90.0,4.708333,14.899
113,90.0,4.75,14.899
114,90.0,4.791667,14.899
115,90.0,4.833333,14.899
116,90.0,4.875,14.899
117,90.0,4.916667,14.899
118,90.0,4.958333,14.899
119,90.0,5.0,14.899
120,90.0,5.041667,14.899
121,90.0,5.083333,14.899
122,90.0,5.125,14.899
123,90.0,5.166667,14.899
124,90.0,5.208333,14.899
125,90.0,5.25,14.899
126,90.0,5.291667,14.899
127,90.0,5.333333,14.899
128,90.0,5.375,14.899
129,90.0,5.416667,14.899
130,90.0,5.458333,14.899
131,90.0,5.5,14.899
132,90.0,5.541667,14.899
133,90.0,5.583333,14.899
134,90.0,5.625,14.899
135,90.0,5.666667,14.899
136,90.0,5.708333,14.899
137,90.0,5.75,14.899
138,90.0,5.791667,14.899
139,90.0,5.833333,14.899
140,90.0,5.875,14.899
141,90.0,5.916667,14.899
142,90.0,5.958333,14.899
143,90.0,6.0,14.899
144,90.0,6.041667,14.899
145,90.0,6.083333,14.899
146,90.0,6.125,14.899
147,90.0,6.166667,14.899
148,90.0,6.208333,14.899
149,90.0,6.25,14.899
150,90.0,6.291667,14.899
151,90.0,6.333333,14.899
152,90.0,6.375,14.899
153,90.0,6.416667,14.899
154,90.0,6.458333,14.899
155,90.0,6.5,14.899
156,90.0,6.541667,14.899
157,90.0,6.583333,14.899
158,90.0,6.625,14.899
159,90.0,6.666667,14.899
160,90.0,6.708333,14.899
161,90.0,6.75,14.899
162,90.0,6.791667,14.899
163,90.0,6.833333,14.899
164,90.0,6.875,14.899
165,90.0,6.916667,14.899
166,90.0,6.958333,14.899
167,90.0,7.0,14.899
168,90.0,7.041667,14.899
169,90.0,7.083333,14.899
170,90.0,7.125,14.899
171,90.0,7.166667,14.899
172,90.0,7.208333,14.899
173,90.0,7.25,14.899
174,90.0,7.291667,14.899
175,90.0,7.333333,14.899
176,90.0,7.375,14.899
177,90.0,7.416667,14.899
178,90.0,7.458333,14.899
179,90.0,7.5,14.899
180,90.0,7.541667,14.899
181,90.0,7.583333,14.899
182,90.0,7.625,14.899
183,90.0,7.666667,14.899
184,90.0,7.708333,14.899
185,90.0,7.75,14.899
186,90.0,7.791667,14.899
187,90.0,7.833333,14.899
188,90.0,7.875,14.899
189,90.0,7.916667,14.899
190,90.0,7.958333,14.899
191,90.0,8.0,14.899
192,90.0,8.041667,14.899
193,90.0,8.083333,14.899
194,90.0,8.125,14.899
195,90.0,8.166667,14.899
196,90.0,8.208333,14.899
197,90.0,8.25,14.899
198,90.0,8.291667,14.899
199,90.0,8.333333,14.899
200,90.0,8.375,14.899
201,90.0,8.416667,14.899
202,90.0,8.458333,14.899
203,90.0,8.5,14.899
204,90.0,8.541667,14.899
205,90.0,8.583333,14.899
206,90.0,8.625,14.899
207,90.0,8.666667,14.899
208,90.0,8.708333,14.899
209,90.0,8.75,14.899
210,90.0,8.791667,14.899
211,90.0,8.833333,14.899
212,90.0,8.875,14.899
213,90.0,8.916667,14.899
214,90.0,8.958333,14.899
215,90.0,9.0,14.899
216,90.0,9.041667,14.899
217,90.0,9.083333,14.899
218,90.0,9.125,14.899
219,90.0,9.166667,14.899
220,90.0,9.208333,14.899
221,90.0,9.25,14.899
222,90.0,9.291667,14.899
223,90.0,9.333333,14.899
224,90.0,9.375,14.899
225,90.0,9.416667,14.899
226,90.0,9.458333,14.899
227,90.0,9.5,14.899
228,90.0,9.541667,14.899
229,90.0,9.583333,14.899
230,90.0,9.625,14.899
231,90.0,9.666667,14.899
232,90.0,9.708333,14.899
233,90.0,9.75,14.899
234,90.0,9.791667,14.899
235,90.0,9.833333,14.899
236,90.0,9.875,14.899
237,90.0,9.916667,14.899
238,90.0,9.958333,14.899
8639,89.958333,0.0,14.969
8640,89.958333,0.041667,14.969
8641,89.958333,0.083333,14.969
8642,89.958333,0.125,14.969
8643,89.958333,0.166667,14.969
8644,89.958333,0.208333,14.968
8645,89.958333,0.25,14.968
8646,89.958333,0.291667,14.968
8647,89.958333,0.333333,14.968
8648,89.958333,0.375,14.968
8649,89.958333,0.416667,14.968
8650,89.958333,0.458333,14.968
8651,89.958333,0.5,14.968
8652,89.958333,0.541667,14.968
8653,89.958333,0.583333,14.968
8654,89.958333,0.625,14.968
